Panic,Lookback,Bins,VA_Pct,ATR_Mult,ROI,MaxDD,Calmar
2.0,94,6,0.78,2.9,1022.4142463343012,-27.530257294777666,37.137838393114016
2.0,94,6,0.78,2.8,1038.6154857280194,-25.662006193817483,40.47288734495917
2.0,94,6,0.78,2.5,964.6276227512894,-25.662006193817476,37.58971981635983
2.0,94,6,0.78,2.7,1029.493283411225,-25.662006193817483,40.11741231904354
2.0,94,6,0.78,2.6,1035.7314775704515,-25.66200619381746,40.36050298436846
2.0,94,7,0.78,2.6,1185.385972353013,-24.157097125858037,49.06988477039164
2.0,94,7,0.78,2.7,1230.1846922878492,-24.157097125858055,50.92435924228016
2.0,94,7,0.78,2.5,1199.1462806995503,-24.157097125858026,49.639502397660635
2.0,94,8,0.78,2.5,1086.84473850263,-24.066299269121576,45.16044308885967
2.0,94,7,0.78,2.8,1183.7937662753466,-24.876826380944532,47.58620525575256
2.0,94,7,0.78,2.9,1186.1670850963646,-24.87682638094451,47.681608052905055
2.0,96,6,0.78,2.5,1095.385055871857,-25.66200619381749,42.68509046404011
2.0,94,8,0.78,2.6,1138.8843560229407,-24.066299269121526,47.322787076124996
2.0,96,6,0.78,2.8,1190.474830797072,-25.662006193817483,46.39055971718542
2.0,96,6,0.78,2.6,1190.2358249731783,-25.662006193817454,46.381246110833395
2.0,94,8,0.78,2.8,1120.631658724886,-24.349349834003412,46.02306288934026
2.0,96,6,0.78,2.9,1172.674836552925,-27.530257294777638,42.59585458997421
2.0,96,7,0.78,2.5,1200.889421268943,-24.15709712585803,49.71166092566219
2.0,96,6,0.78,2.7,1290.2024799500043,-25.662006193817483,50.276758185057304
2.0,94,8,0.78,2.7,1148.5867505471003,-24.066299269121576,47.72593981746093
2.0,96,7,0.78,2.7,1288.0384921265922,-24.157097125858062,53.31925791480383
2.0,94,8,0.78,2.9,1155.0487428343608,-24.349349834003363,47.43653324251636
2.0,96,7,0.78,2.8,1245.5707286823824,-24.4320139479123,50.98109109375388
2.0,96,7,0.78,2.6,1257.4986959556647,-24.157097125858037,52.05504160554223
2.0,96,7,0.78,2.9,1199.8290119261317,-24.54103368869711,48.89072836727078
2.0,96,8,0.78,2.9,1167.7608792274082,-24.34934983400339,47.958606171761225
2.0,98,6,0.78,2.5,1028.869497529917,-25.66200619381746,40.09310455929179
2.0,96,8,0.78,2.6,1021.347227197326,-24.066299269121526,42.438898302398094
2.0,96,8,0.78,2.7,1018.621994196516,-24.066299269121544,42.325659745429455
2.0,96,8,0.78,2.8,997.1846668590808,-24.34934983400339,40.953235862853795
2.0,98,6,0.78,2.6,1104.9760332338087,-25.662006193817483,43.05883276966945
2.0,98,6,0.78,2.9,1155.17150600518,-27.530257294777666,41.96006937517106
2.0,98,6,0.78,2.7,1193.44915564459,-25.662006193817476,46.50646354890669
2.0,98,7,0.78,2.6,1446.1085423240709,-24.15709712585805,59.86267864842662
2.0,98,7,0.78,2.7,1502.6460302767612,-24.157097125858037,62.20308766603879
2.0,98,7,0.78,2.5,1275.4224738972769,-24.15709712585806,52.79700898052228
2.0,96,8,0.78,2.5,997.3085022096891,-24.066299269121554,41.440044065657126
2.0,98,8,0.78,2.6,963.9619814511447,-24.157097125858034,39.90388317060284
2.0,98,8,0.78,2.5,955.8275294128409,-24.157097125857984,39.56715181600666
2.0,98,7,0.78,2.8,1348.476348416566,-24.157097125858037,55.821125418796335
2.0,98,7,0.78,2.9,1350.6373434893508,-24.541033688697123,55.03587830171207
2.0,98,8,0.78,2.7,953.400132984053,-24.15709712585801,39.46666803618236
2.0,98,8,0.78,2.9,968.3936514319224,-24.541033688697112,39.46018182102641
2.0,100,6,0.78,2.5,1124.754946433651,-24.15709712585805,46.56002087393603
2.0,98,6,0.78,2.8,1097.7863026590112,-25.662006193817476,42.77866252419078
2.0,98,8,0.78,2.8,948.8081986184708,-24.34934983400339,38.96646953971143
2.0,100,6,0.78,2.8,1212.0956900844997,-24.157097125858037,50.17555229295569
2.0,100,6,0.78,2.9,1227.199696696384,-27.530257294777666,44.57639765427027
2.0,100,6,0.78,2.6,1168.1466917136036,-24.157097125858044,48.3562526419288
2.0,100,7,0.78,2.5,1111.5928235954098,-24.15709712585806,46.015165555862545
2.0,100,7,0.78,2.7,1291.4068515445874,-24.157097125858037,53.45869351836362
2.0,100,7,0.78,2.8,1131.7669738880916,-24.157097125858037,46.850288674653505
2.0,100,8,0.78,2.6,1012.5956921684598,-24.157097125858066,41.91710977907873
2.0,100,8,0.78,2.7,1000.4146954223226,-24.15709712585806,41.41286886458995
2.0,100,7,0.78,2.9,1110.5888799454506,-24.541033688697123,45.25436434476495
2.0,100,8,0.78,2.9,963.7271649063318,-24.5410336886971,39.27003145552899
2.0,100,8,0.78,2.8,963.2390892505788,-24.34934983400338,39.55912974339194
2.0,102,6,0.78,2.5,1128.7804355203475,-24.15709712585806,46.726658821605135
2.0,102,6,0.78,2.6,1271.6959003281693,-24.157097125858034,52.64274485061913
2.0,102,6,0.78,2.8,1248.9503967403052,-24.157097125858044,51.70117875642491
2.0,102,6,0.78,2.9,1272.6248300286957,-27.530257294777684,46.22640523850478
2.0,102,6,0.78,2.7,1368.0174542930285,-24.157097125858044,56.630043219418376
2.0,100,6,0.78,2.7,1295.8193000819645,-24.157097125858037,53.64134992423839
2.0,102,7,0.78,2.5,1146.2724223074097,-24.15709712585806,47.450751898514554
2.0,100,7,0.78,2.6,1242.910683874447,-24.15709712585805,51.45116060091592
2.0,102,7,0.78,2.8,1195.3833760238256,-24.157097125858037,49.48373431608525
2.0,102,7,0.78,2.7,1298.8409537114608,-24.157097125858037,53.76643339820687
2.0,102,7,0.78,2.6,1236.8328013847552,-24.15709712585805,51.19956238702349
2.0,102,7,0.78,2.9,1156.92248789331,-24.541033688697123,47.142369900504825
2.0,102,8,0.78,2.5,1135.9239459347184,-24.157097125858055,47.022369451783646
2.0,102,8,0.78,2.6,1152.8695221272908,-24.157097125858034,47.72384347841389
2.0,102,8,0.78,2.7,1198.7780487443688,-24.157097125858034,49.624259177282646
2.0,100,8,0.78,2.5,979.0507290611733,-24.15709712585804,40.52849247408895
2.0,102,8,0.78,2.8,1120.8751376584146,-25.064237381486798,44.720097427992236
2.0,102,8,0.78,2.9,1116.6109263403393,-25.064237381486798,44.54996612684102
2.0,94,6,0.79,2.5,954.5857855462209,-25.662006193817476,37.19840835266422
2.0,94,6,0.79,2.8,1027.8757762723294,-25.662006193817483,40.054381115376955
2.0,94,6,0.79,2.9,1011.8273510692584,-27.530257294777666,36.75328349587188
2.0,94,6,0.79,2.7,1018.8396168767011,-25.662006193817483,39.70225901987979
2.0,94,6,0.79,2.6,1025.018970809672,-25.66200619381746,39.94305679252083
2.0,94,7,0.79,2.5,1199.1462806995503,-24.157097125858026,49.639502397660635
2.0,94,7,0.79,2.7,1230.1846922878492,-24.157097125858055,50.92435924228016
2.0,94,8,0.79,2.5,1086.84473850263,-24.066299269121576,45.16044308885967
2.0,94,7,0.79,2.9,1186.1670850963646,-24.87682638094451,47.681608052905055
2.0,94,8,0.79,2.6,1138.8843560229407,-24.066299269121526,47.322787076124996
2.0,94,8,0.79,2.7,1148.5867505471003,-24.066299269121576,47.72593981746093
2.0,94,8,0.79,2.8,1120.631658724886,-24.349349834003412,46.02306288934026
2.0,94,8,0.79,2.9,1155.0487428343608,-24.349349834003363,47.43653324251636
2.0,96,6,0.79,2.5,1117.7931177536973,-25.66200619381749,43.55829038896409
2.0,96,6,0.79,2.7,1316.262487180299,-25.662006193817483,51.29226753508517
2.0,94,7,0.79,2.8,1183.7937662753466,-24.876826380944532,47.58620525575256
2.0,96,6,0.79,2.8,1214.6653957731137,-25.662006193817483,47.33322042708228
2.0,96,6,0.79,2.6,1214.4219096712839,-25.662006193817454,47.3237322327459
2.0,96,6,0.79,2.9,1183.0206471039314,-27.530257294777666,42.97165240545513
2.0,96,7,0.79,2.5,1200.889421268943,-24.15709712585803,49.71166092566219
2.0,96,7,0.79,2.7,1288.0384921265922,-24.157097125858062,53.31925791480383
2.0,96,7,0.79,2.9,1199.8290119261317,-24.54103368869711,48.89072836727078
2.0,96,8,0.79,2.5,997.3085022096891,-24.066299269121554,41.440044065657126
2.0,96,8,0.79,2.6,1021.347227197326,-24.066299269121526,42.438898302398094
2.0,94,7,0.79,2.6,1185.385972353013,-24.157097125858037,49.06988477039164
2.0,96,8,0.79,2.8,997.1846668590808,-24.34934983400339,40.953235862853795
2.0,96,8,0.79,2.9,1148.618374908608,-24.34934983400338,47.17244537283642
2.0,98,6,0.79,2.6,1081.2140813649025,-25.662006193817483,42.132874304480126
2.0,98,6,0.79,2.5,1006.6083554600662,-25.66200619381746,39.22562982244857
2.0,96,8,0.79,2.7,1018.621994196516,-24.066299269121544,42.325659745429455
2.0,98,6,0.79,2.8,1074.1661312298452,-25.662006193817476,41.85822897543508
2.0,98,6,0.79,2.7,1167.942526687978,-25.662006193817476,45.512518306903075
2.0,98,6,0.79,2.9,1130.4197067242633,-27.530257294777666,41.0609931690939
2.0,98,7,0.79,2.5,1275.4224738972769,-24.15709712585806,52.79700898052228
2.0,98,7,0.79,2.6,1446.1085423240709,-24.15709712585805,59.86267864842662
2.0,98,7,0.79,2.8,1348.476348416566,-24.157097125858037,55.821125418796335
2.0,98,7,0.79,2.7,1502.6460302767612,-24.157097125858037,62.20308766603879
2.0,98,7,0.79,2.9,1350.6373434893508,-24.541033688697123,55.03587830171207
2.0,98,8,0.79,2.5,955.8275294128409,-24.157097125857984,39.56715181600666
2.0,98,8,0.79,2.6,963.9619814511447,-24.157097125858034,39.90388317060284
2.0,98,8,0.79,2.7,956.6144405170505,-24.15709712585801,39.5997265537787
2.0,100,6,0.79,2.5,1083.741593496294,-24.15709712585805,44.86224432720618
2.0,98,8,0.79,2.9,971.6537096514679,-24.541033688697112,39.59302293362579
2.0,96,7,0.79,2.8,1245.5707286823824,-24.4320139479123,50.98109109375388
2.0,100,6,0.79,2.7,1249.077517362301,-24.157097125858037,51.70644100384371
2.0,100,6,0.79,2.8,1168.1575588022224,-24.157097125858037,48.35670249269367
2.0,96,7,0.79,2.6,1257.4986959556647,-24.157097125858037,52.05504160554223
2.0,100,6,0.79,2.6,1125.6802799672864,-24.157097125858044,46.598325705382244
2.0,100,7,0.79,2.5,1119.4633214449175,-24.15709712585806,46.34097034145009
2.0,100,6,0.79,2.9,1182.755777741443,-27.530257294777666,42.9620313779561
2.0,100,7,0.79,2.6,1251.6342215544987,-24.15709712585805,51.81227756934148
2.0,100,7,0.79,2.8,1139.7685228658352,-24.157097125858037,47.18151841372587
2.0,100,7,0.79,2.7,1300.4454199642798,-24.157097125858037,53.832851405488945
2.0,100,7,0.79,2.9,1118.452856184577,-24.541033688697123,45.57480627638368
2.0,100,8,0.79,2.5,945.139076788676,-24.15709712585804,39.124695813595416
2.0,100,8,0.79,2.6,977.6298122366411,-24.157097125858066,40.469672624289515
2.0,100,8,0.79,2.7,923.2513707088408,-24.15709712585806,38.2186388496398
2.0,100,8,0.79,2.8,929.8243541448782,-24.34934983400338,38.186824719500194
2.0,100,8,0.79,2.9,930.2970908999894,-24.5410336886971,37.90782013100196
2.0,102,6,0.79,2.5,1096.8459013102483,-24.15709712585806,45.40470635174832
2.0,102,6,0.79,2.6,1236.0471640782844,-24.157097125858034,51.167040379003375
2.0,102,6,0.79,2.9,1267.6889829870133,-27.530257294777684,46.04711715598408
2.0,102,6,0.79,2.8,1244.099681031638,-24.157097125858044,51.50037997321868
2.0,102,7,0.79,2.6,1212.4733916347811,-24.15709712585805,50.19118751387288
2.0,102,7,0.79,2.8,1171.7792466164817,-24.157097125858037,48.506624803118235
2.0,102,7,0.79,2.7,1273.351647994839,-24.157097125858037,52.71128568804025
2.0,102,7,0.79,2.9,1134.019182502513,-24.541033688697123,46.209104183937
2.0,102,8,0.79,2.5,1135.9239459347184,-24.157097125858055,47.022369451783646
2.0,102,8,0.79,2.6,1152.8695221272908,-24.157097125858034,47.72384347841389
2.0,102,8,0.79,2.7,1198.7780487443688,-24.157097125858034,49.624259177282646
2.0,98,8,0.79,2.8,952.0084944869924,-24.34934983400339,39.09790203751277
2.0,102,8,0.79,2.8,1120.8751376584146,-25.064237381486798,44.720097427992236
2.0,102,8,0.79,2.9,1116.6109263403393,-25.064237381486798,44.54996612684102
2.0,94,6,0.8,2.5,940.5171300095058,-25.662006193817476,36.650179370469345
2.0,94,6,0.8,2.6,1010.0107044462181,-25.66200619381746,39.35821294788526
2.0,94,6,0.8,2.7,1003.9137859140604,-25.662006193817483,39.120627527395904
2.0,94,6,0.8,2.8,1012.8293988205767,-25.662006193817483,39.4680521534824
2.0,94,6,0.8,2.9,996.9950669318513,-27.530257294777666,36.21452049127691
2.0,94,7,0.8,2.5,1201.4747576264774,-24.157097125858026,49.73589133523851
2.0,94,7,0.8,2.7,1230.1846922878492,-24.157097125858055,50.92435924228016
2.0,94,7,0.8,2.6,1187.6897864987218,-24.157097125858037,49.1652527748214
2.0,94,7,0.8,2.9,1186.1670850963646,-24.87682638094451,47.681608052905055
2.0,102,6,0.79,2.7,1329.8654360316912,-24.157097125858044,55.05071363099283
2.0,102,7,0.79,2.5,1123.5631795631928,-24.15709712585806,46.510686847407534
2.0,94,7,0.8,2.8,1183.7937662753466,-24.876826380944532,47.58620525575256
2.0,94,8,0.8,2.5,1068.7207613307912,-24.066299269121547,44.40735774868477
2.0,94,8,0.8,2.6,1119.9656962701577,-24.066299269121554,46.53668118002414
2.0,94,8,0.8,2.7,1129.519928215709,-24.06629926912151,46.93367748754583
2.0,94,8,0.8,2.8,1101.9917308554109,-24.34934983400338,45.257542331438415
2.0,96,6,0.8,2.5,1086.971749068446,-25.66200619381749,42.3572397597784
2.0,96,6,0.8,2.6,1181.154943636299,-25.662006193817454,46.02738128560134
2.0,96,6,0.8,2.7,1280.418017675502,-25.662006193817483,49.89547613716895
2.0,96,6,0.8,2.8,1181.39226729986,-25.662006193817483,46.036629341336614
2.0,96,6,0.8,2.9,1150.5484218805511,-27.530257294777666,41.792141989853604
2.0,94,8,0.8,2.9,1178.57522892854,-24.349349834003363,48.402739168118735
2.0,96,7,0.8,2.5,1200.889421268943,-24.15709712585803,49.71166092566219
